,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,deltaDate,date
38,1.68,0.8,3.3,4.1,53.0,79.0,29.0,721.2,0.0,40.0,3.0,0.525,31.04,9.7,127.0,11124.0,2021-04-08 12:00:00
39,1.64,0.6,2.8,3.3,54.0,71.0,28.0,720.7,0.0,36.0,2.3,0.538,32.72,8.7,124.0,11125.0,2021-04-08 13:00:00
40,1.6,0.6,2.8,3.4,55.0,74.0,25.0,720.3,0.0,29.0,2.1,0.482,34.15,8.9,139.0,11126.0,2021-04-08 14:00:00
41,1.64,1.4,6.4,7.7,50.0,59.0,23.0,719.5,0.0,21.0,4.9,0.188,36.6,7.0,150.0,11129.0,2021-04-08 17:00:00
42,1.85,3.2,13.6,16.8,19.0,64.0,26.0,719.6,0.0,26.0,2.3,0.001,33.4,10.1,130.0,11132.0,2021-04-08 20:00:00
43,1.77,2.8,10.9,13.7,20.0,75.0,28.0,719.8,0.0,31.0,2.0,0.0,31.83,11.6,145.0,11133.0,2021-04-08 21:00:00
44,1.66,0.6,6.1,6.6,25.0,81.0,25.0,719.8,0.0,36.0,2.0,0.0,30.02,10.9,133.0,11134.0,2021-04-08 22:00:00
45,1.66,0.6,6.0,6.5,11.0,72.0,41.0,719.0,0.0,77.0,2.2,0.0,21.52,1.8,234.0,11141.0,2021-04-09 05:00:00
46,1.78,4.6,9.8,14.4,3.0,67.0,45.0,719.0,0.0,77.0,2.1,0.0,21.29,3.2,319.0,11142.0,2021-04-09 06:00:00
47,2.14,14.4,13.0,27.5,1.0,78.0,49.0,719.0,0.0,76.0,2.1,0.014,21.2,2.4,282.0,11143.0,2021-04-09 07:00:00
48,2.28,15.7,14.1,29.9,5.0,140.0,54.0,719.0,0.0,68.0,2.3,0.121,23.46,7.2,321.0,11144.0,2021-04-09 08:00:00
49,2.26,13.2,17.4,30.7,15.0,128.0,47.0,719.0,0.0,47.0,3.7,0.258,27.53,10.2,323.0,11145.0,2021-04-09 09:00:00
50,2.5,13.1,25.0,38.1,28.0,137.0,55.0,719.1,0.0,34.0,4.1,0.383,31.39,10.5,282.0,11146.0,2021-04-09 10:00:00
51,1.85,2.3,12.2,14.6,56.0,178.0,37.0,719.1,0.0,19.0,2.5,0.489,35.77,10.0,290.0,11147.0,2021-04-09 11:00:00
52,1.51,0.6,4.4,5.1,54.0,130.0,21.0,718.8,0.0,7.0,2.0,0.561,39.84,15.5,317.0,11148.0,2021-04-09 12:00:00
53,2.57,34.0,21.0,55.0,7.0,59.0,44.0,718.8,0.0,14.0,2.5,0.0,35.3,2.8,171.0,11156.0,2021-04-09 20:00:00
54,2.56,28.5,21.3,49.8,2.0,141.0,52.0,719.1,0.0,18.0,2.9,0.0,33.22,2.3,196.0,11157.0,2021-04-09 21:00:00
55,2.52,20.5,18.7,39.3,4.0,132.0,59.0,719.3,0.0,22.0,2.5,0.0,31.34,1.6,241.0,11158.0,2021-04-09 22:00:00
56,2.65,22.4,18.6,41.0,2.0,112.0,63.0,719.4,0.0,25.0,2.4,0.0,30.24,1.4,189.0,11159.0,2021-04-09 23:00:00
57,2.99,32.2,16.8,49.1,2.0,157.0,70.0,719.5,0.0,28.0,2.4,0.0,28.61,1.4,203.0,11160.0,2021-04-10 00:00:00
58,1.91,3.3,12.6,15.9,9.0,167.0,56.0,719.5,0.0,31.0,2.3,0.0,27.47,3.7,80.0,11161.0,2021-04-10 01:00:00
59,1.87,3.7,14.0,17.7,6.0,98.0,44.0,719.5,0.0,35.0,2.5,0.0,26.98,5.1,315.0,11162.0,2021-04-10 02:00:00
60,1.96,3.9,17.6,21.6,2.0,98.0,52.0,719.5,0.0,32.0,2.9,0.0,26.97,6.5,307.0,11163.0,2021-04-10 03:00:00
61,1.94,4.7,17.4,22.2,2.0,95.0,58.0,719.6,0.0,32.0,3.1,0.0,26.64,2.2,295.0,11164.0,2021-04-10 04:00:00
62,2.1,14.0,17.6,31.7,2.0,94.0,70.0,719.6,0.0,34.0,3.4,0.0,26.46,3.6,315.0,11165.0,2021-04-10 05:00:00
63,2.53,42.0,19.0,60.9,12.5,116.0,78.0,719.6,0.0,34.0,3.9,0.0,26.26,5.1,311.0,11166.0,2021-04-10 06:00:00
64,3.06,67.2,20.2,87.3,4.0,169.0,71.0,719.9,0.0,30.0,5.9,0.013,26.32,2.7,310.0,11167.0,2021-04-10 07:00:00
65,2.32,28.3,18.7,47.0,5.0,166.0,60.0,720.1,0.0,28.0,4.7,0.113,27.49,6.4,322.0,11168.0,2021-04-10 08:00:00
66,1.77,9.6,11.6,21.2,24.0,136.0,43.0,720.4,0.0,16.0,3.8,0.229,29.74,15.6,322.0,11169.0,2021-04-10 09:00:00
67,1.43,0.6,2.9,3.5,40.0,231.0,29.0,720.8,0.0,20.0,2.3,0.379,28.46,18.8,333.0,11170.0,2021-04-10 10:00:00
68,1.44,0.5,3.1,3.6,46.0,148.0,20.0,720.8,0.0,22.0,2.2,0.484,29.86,15.5,333.0,11171.0,2021-04-10 11:00:00
69,0.41,2.7,5.7,8.4,69.0,83.0,18.0,719.5,0.0,15.0,5.0,0.241,35.94,11.2,98.0,11176.0,2021-04-10 16:00:00
70,0.41,2.8,6.0,8.8,62.0,64.0,17.0,719.5,0.0,16.0,3.5,0.279,34.89,14.5,101.0,11177.0,2021-04-10 17:00:00
71,0.42,2.6,6.1,8.7,61.0,70.0,17.0,719.5,0.0,17.0,2.9,0.15,33.82,14.4,108.0,11178.0,2021-04-10 18:00:00
72,0.43,2.4,6.5,8.8,60.0,56.0,18.0,719.6,0.0,19.0,2.7,0.037,32.21,12.8,96.0,11179.0,2021-04-10 19:00:00
73,0.49,2.3,10.0,12.3,56.0,70.0,20.0,719.8,0.0,23.0,2.7,0.0,30.24,9.8,97.0,11180.0,2021-04-10 20:00:00
74,0.99,10.2,33.7,44.0,31.0,64.0,33.0,719.9,0.0,26.0,3.0,0.0,28.97,3.6,154.0,11181.0,2021-04-10 21:00:00
75,1.09,11.6,40.4,52.2,21.0,89.0,44.0,720.1,0.0,29.0,3.1,0.0,27.7,3.0,195.0,11182.0,2021-04-10 22:00:00
76,0.79,4.5,24.5,29.0,31.0,94.0,35.0,720.3,0.0,38.0,3.3,0.0,26.24,7.0,139.0,11183.0,2021-04-10 23:00:00
77,0.52,2.2,4.5,6.7,38.0,94.0,28.0,720.4,0.0,63.0,3.0,0.0,23.97,11.7,112.0,11184.0,2021-04-11 00:00:00
78,0.48,2.1,2.9,5.0,42.0,59.0,25.0,720.4,0.0,67.0,2.9,0.0,23.21,10.5,122.0,11187.0,2021-04-11 03:00:00
79,0.49,2.1,3.0,5.1,40.0,61.0,26.0,720.4,0.0,69.0,3.5,0.0,22.83,8.5,119.0,11188.0,2021-04-11 04:00:00
80,0.67,4.6,11.2,15.9,26.0,50.0,27.0,720.6,0.0,85.0,2.5,0.015,20.23,1.7,177.0,11193.0,2021-04-11 09:00:00
81,0.67,5.4,10.1,15.5,30.0,65.0,27.0,720.7,0.0,83.0,2.5,0.049,20.74,1.6,192.0,11194.0,2021-04-11 10:00:00
82,0.57,4.0,5.9,9.9,51.0,61.0,30.0,720.6,0.0,65.0,4.6,0.38,24.88,5.8,174.0,11197.0,2021-04-11 13:00:00
83,0.58,4.4,6.0,10.4,53.0,61.0,30.0,720.3,0.0,57.0,5.3,0.493,26.72,5.2,171.0,11198.0,2021-04-11 14:00:00
84,0.58,3.9,6.0,9.9,57.0,58.0,32.0,719.9,0.0,50.0,7.9,0.484,28.49,6.5,160.0,11199.0,2021-04-11 15:00:00
85,0.57,3.9,6.9,10.9,58.0,67.0,32.0,719.6,0.0,47.0,7.6,0.47,29.86,6.0,133.0,11200.0,2021-04-11 16:00:00
86,0.56,3.7,6.4,10.0,53.0,61.0,30.0,719.2,0.0,46.0,5.3,0.287,30.31,10.1,135.0,11201.0,2021-04-11 17:00:00
87,0.61,5.1,9.6,14.7,46.0,61.0,26.0,719.1,0.0,44.0,4.5,0.178,30.35,10.2,162.0,11202.0,2021-04-11 18:00:00
88,0.69,5.4,12.0,17.5,41.0,55.0,24.0,719.1,0.0,46.0,3.3,0.07,29.56,10.4,159.0,11203.0,2021-04-11 19:00:00
89,0.74,5.2,13.7,19.0,39.0,56.0,21.0,719.4,0.0,48.0,2.9,0.022,28.93,10.1,153.0,11204.0,2021-04-11 20:00:00
90,0.82,7.0,18.5,25.7,27.0,84.0,25.0,719.5,0.0,51.0,2.9,0.0,28.19,5.5,157.0,11205.0,2021-04-11 21:00:00
91,0.89,8.4,18.8,27.3,22.0,78.0,29.0,719.7,0.0,54.0,2.8,0.0,27.36,2.0,173.0,11206.0,2021-04-11 22:00:00
92,0.97,8.9,20.4,29.4,18.0,69.0,29.0,719.9,0.0,57.0,2.7,0.0,26.53,1.3,185.0,11207.0,2021-04-11 23:00:00
93,0.93,8.3,23.0,31.3,15.0,70.0,28.0,719.8,0.0,58.0,2.7,0.0,26.15,1.3,170.0,11208.0,2021-04-12 00:00:00
94,0.59,2.6,9.2,11.8,21.0,61.0,27.0,719.8,0.0,68.0,2.6,0.0,23.11,5.7,136.0,11211.0,2021-04-12 03:00:00
95,0.52,2.5,5.3,7.8,22.0,53.0,27.0,719.6,0.0,73.0,2.5,0.0,22.26,3.6,138.0,11212.0,2021-04-12 04:00:00
96,0.48,2.3,4.6,6.8,21.0,61.0,28.0,719.6,0.0,78.0,2.8,0.0,21.38,2.5,106.0,11213.0,2021-04-12 05:00:00
97,0.5,2.2,4.7,6.9,21.0,50.0,28.0,719.7,0.0,83.0,2.7,0.0,20.69,2.5,94.0,11214.0,2021-04-12 06:00:00
98,0.5,2.8,5.2,8.0,18.0,47.0,30.0,719.8,0.0,85.0,3.5,0.0,20.39,3.6,123.0,11215.0,2021-04-12 07:00:00
99,0.67,8.4,10.6,19.0,13.0,55.0,32.0,720.1,0.0,86.0,3.4,0.002,20.53,2.4,144.0,11216.0,2021-04-12 08:00:00
100,0.71,8.1,10.7,18.8,14.0,58.0,32.0,720.2,0.0,86.0,2.9,0.015,20.71,1.5,138.0,11217.0,2021-04-12 09:00:00
101,0.62,4.6,7.5,12.1,22.0,67.0,33.0,720.3,0.0,85.0,3.1,0.041,20.95,4.0,125.0,11218.0,2021-04-12 10:00:00
102,0.71,8.9,9.0,17.9,20.0,66.0,32.0,720.4,0.0,83.0,3.4,0.065,21.41,2.1,150.0,11219.0,2021-04-12 11:00:00
103,0.64,7.0,7.6,14.6,24.0,70.0,25.0,720.4,0.0,77.0,3.0,0.143,22.73,2.7,176.0,11220.0,2021-04-12 12:00:00
104,0.61,5.8,6.6,12.4,37.0,54.0,28.0,720.4,0.0,67.0,2.9,0.298,24.9,4.8,139.0,11221.0,2021-04-12 13:00:00
105,0.57,4.9,5.7,10.5,50.0,50.0,29.0,720.1,0.0,59.0,3.0,0.553,26.99,7.8,135.0,11222.0,2021-04-12 14:00:00
106,0.51,3.3,4.2,7.5,53.0,63.0,32.0,719.8,0.0,53.0,3.4,0.493,28.93,10.4,108.0,11223.0,2021-04-12 15:00:00
107,0.5,3.1,4.0,7.0,52.0,71.0,31.0,719.6,0.0,48.0,3.6,0.477,30.35,11.4,99.0,11224.0,2021-04-12 16:00:00
108,0.51,3.6,6.0,9.7,51.0,64.0,31.0,719.3,0.0,45.0,7.1,0.362,31.32,10.4,124.0,11225.0,2021-04-12 17:00:00
109,0.51,3.4,6.0,9.4,38.0,71.0,30.0,719.3,0.0,44.0,12.7,0.132,31.43,13.2,102.0,11227.0,2021-04-12 19:00:00
110,0.52,2.7,6.0,8.7,33.0,64.0,29.0,719.5,0.0,47.0,7.5,0.029,30.63,10.9,102.0,11228.0,2021-04-12 20:00:00
111,0.53,2.5,6.2,8.7,31.0,104.0,27.0,719.7,0.0,52.0,3.4,0.001,29.12,10.6,94.0,11229.0,2021-04-12 21:00:00
112,0.73,7.0,15.3,22.3,21.0,125.0,30.0,720.0,0.0,55.0,3.0,0.0,28.06,5.2,136.0,11230.0,2021-04-12 22:00:00
113,0.84,7.5,18.8,26.3,14.0,66.0,32.0,720.3,0.0,58.0,2.9,0.0,27.31,1.9,145.0,11231.0,2021-04-12 23:00:00
114,0.67,6.4,12.4,18.8,19.0,72.0,30.0,720.5,0.0,61.0,2.9,0.0,26.51,2.7,156.0,11232.0,2021-04-13 00:00:00
115,0.59,4.2,10.1,14.3,19.0,72.0,29.0,720.5,0.0,66.0,2.8,0.0,25.39,7.5,138.0,11233.0,2021-04-13 01:00:00
116,0.48,2.6,4.0,6.5,22.0,57.0,28.0,720.5,0.0,71.0,2.6,0.0,24.41,6.1,135.0,11234.0,2021-04-13 02:00:00
117,0.44,2.2,2.5,4.6,22.0,48.0,28.0,720.5,0.0,75.0,2.6,0.0,23.39,1.4,118.0,11235.0,2021-04-13 03:00:00
118,0.43,2.1,1.7,3.8,20.0,45.0,28.0,720.5,0.0,81.0,2.5,0.0,22.33,5.3,83.0,11237.0,2021-04-13 05:00:00
119,0.63,8.0,8.0,16.0,17.0,43.0,25.0,721.6,0.0,79.0,2.6,0.055,23.33,1.5,166.0,11243.0,2021-04-13 11:00:00
120,0.75,10.1,10.4,20.5,14.0,56.0,35.0,721.7,0.0,78.0,2.7,0.068,23.67,1.4,171.0,11244.0,2021-04-13 12:00:00
121,0.6,7.6,6.8,14.4,22.0,78.0,35.0,721.7,0.0,76.0,2.7,0.185,24.42,3.0,175.0,11245.0,2021-04-13 13:00:00
122,0.51,4.3,5.5,9.9,51.0,68.0,28.0,721.5,0.0,65.0,3.5,0.418,27.42,2.1,141.0,11246.0,2021-04-13 14:00:00
123,0.51,3.4,5.4,8.8,68.0,54.0,33.0,721.2,0.0,57.0,6.0,0.438,29.42,3.7,132.0,11247.0,2021-04-13 15:00:00
124,0.49,2.9,4.6,7.5,50.0,75.0,35.0,721.0,0.0,54.0,5.3,0.282,29.88,7.9,87.0,11248.0,2021-04-13 16:00:00
125,0.53,4.2,7.1,11.3,40.0,72.0,33.0,720.8,0.0,54.0,12.1,0.24,29.94,11.5,107.0,11249.0,2021-04-13 17:00:00
126,0.65,7.4,11.8,19.3,36.0,79.0,34.0,720.7,0.0,53.0,18.2,0.233,30.26,11.2,143.0,11250.0,2021-04-13 18:00:00
127,0.72,8.2,13.5,21.8,29.0,78.0,31.0,720.8,0.0,53.0,12.2,0.12,30.2,10.3,147.0,11251.0,2021-04-13 19:00:00
128,0.67,5.0,12.7,17.7,28.0,72.0,32.0,720.9,0.0,55.0,9.9,0.027,29.37,9.8,129.0,11252.0,2021-04-13 20:00:00
129,0.65,2.9,10.6,13.5,28.0,73.0,36.0,721.1,0.0,58.0,4.7,0.0,28.48,10.2,121.0,11253.0,2021-04-13 21:00:00
130,0.58,2.8,8.0,10.8,27.0,69.0,27.0,721.3,0.0,61.0,3.4,0.0,27.78,11.0,128.0,11254.0,2021-04-13 22:00:00
131,0.64,4.1,12.8,17.0,20.0,56.0,28.0,721.3,0.0,62.0,3.0,0.0,27.64,7.6,136.0,11255.0,2021-04-13 23:00:00
132,0.56,3.0,7.9,10.8,27.0,60.0,28.0,721.3,0.0,65.0,3.4,0.0,27.06,8.9,118.0,11256.0,2021-04-14 00:00:00
133,0.49,2.2,3.9,6.0,33.0,61.0,27.0,721.5,0.0,69.0,3.9,0.0,26.25,11.7,115.0,11257.0,2021-04-14 01:00:00
134,0.47,2.1,3.5,5.5,29.0,53.0,32.0,721.4,0.0,71.0,3.9,0.0,25.85,11.0,121.0,11258.0,2021-04-14 02:00:00
135,0.45,2.1,3.2,5.3,26.0,53.0,33.0,721.4,0.0,73.0,4.7,0.0,25.44,11.1,119.0,11259.0,2021-04-14 03:00:00
136,0.46,2.2,3.9,6.1,23.0,54.0,33.0,721.3,0.0,74.0,4.9,0.0,25.14,10.1,138.0,11260.0,2021-04-14 04:00:00
137,0.44,2.2,3.0,5.1,21.0,51.0,35.0,721.3,0.0,80.0,4.5,0.0,23.66,7.9,93.0,11262.0,2021-04-14 06:00:00
138,0.45,2.3,3.1,5.2,20.0,55.0,37.0,721.5,0.0,83.0,3.5,0.0,23.21,6.2,91.0,11263.0,2021-04-14 07:00:00
139,0.51,2.7,5.0,7.7,18.0,55.0,41.0,721.7,0.0,84.0,3.1,0.002,22.97,7.0,98.0,11264.0,2021-04-14 08:00:00
140,0.57,3.9,6.5,10.4,16.0,62.0,42.0,721.9,0.0,85.0,3.1,0.011,22.99,5.0,122.0,11265.0,2021-04-14 09:00:00
141,0.79,11.8,10.9,22.8,19.0,66.0,46.0,722.0,0.0,84.0,3.0,0.025,23.18,5.3,169.0,11266.0,2021-04-14 10:00:00
142,0.68,9.6,8.2,17.8,29.0,84.0,46.0,722.1,0.0,82.0,2.8,0.127,24.0,1.4,166.0,11267.0,2021-04-14 11:00:00
143,0.57,5.1,6.9,12.1,30.5,79.0,44.0,722.0,0.0,72.0,2.9,0.188,26.19,1.3,137.0,11268.0,2021-04-14 12:00:00
144,0.54,3.9,4.8,8.7,28.75,74.0,39.0,721.7,0.0,62.0,3.0,0.411,28.49,5.3,120.0,11269.0,2021-04-14 13:00:00
145,0.52,3.8,4.8,8.6,28.75,63.0,38.0,721.4,0.0,53.0,3.0,0.432,30.1,9.2,120.0,11270.0,2021-04-14 14:00:00
146,0.49,4.0,5.5,9.5,29.75,75.0,35.0,720.4,0.0,41.0,2.9,0.36,33.4,9.5,131.0,11273.0,2021-04-14 17:00:00
147,0.59,2.3,11.7,14.0,32.75,82.0,36.0,720.8,0.0,48.0,2.7,0.0,30.25,8.0,76.0,11278.0,2021-04-14 22:00:00
